Orientation,Azimuth,Tilt,Month,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
East,90,55,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.07,296.75,289.59,246.28,170.7,101.62,77.2,43.47,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,February,0.0,0.0,0.0,0.0,0.0,0.0,19.07,329.98,464.97,452.55,392.95,286.0,161.91,116.56,86.5,41.23,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,March,0.0,0.0,0.0,0.0,0.0,33.17,306.25,559.33,639.68,618.88,541.39,402.65,230.23,153.12,122.57,88.37,33.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,April,0.0,0.0,0.0,0.0,16.5,268.0,571.52,724.0,772.59,719.57,622.34,474.33,285.3,180.46,153.57,123.17,76.48,13.53,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,May,0.0,0.0,0.0,4.16,158.27,432.11,614.76,749.91,789.81,738.78,624.51,495.86,326.1,197.82,168.68,141.27,100.33,50.4,3.84,0.0,0.0,0.0,0.0,0.0
East,90,55,June,0.0,0.0,0.0,17.56,234.99,464.92,652.47,780.49,826.03,788.43,679.47,540.11,359.23,210.31,179.05,154.07,115.75,69.68,16.75,0.0,0.0,0.0,0.0,0.0
East,90,55,July,0.0,0.0,0.0,0.0,171.31,446.95,635.02,770.44,824.64,787.94,682.58,543.85,362.19,206.55,176.05,150.75,114.58,65.99,12.57,0.0,0.0,0.0,0.0,0.0
East,90,55,August,0.0,0.0,0.0,0.0,35.61,343.83,582.64,732.89,787.84,753.42,654.91,501.99,313.7,184.51,159.94,131.82,89.84,33.15,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,September,0.0,0.0,0.0,0.0,0.0,147.3,445.27,589.96,652.07,614.06,521.46,384.09,215.7,156.4,125.69,89.48,34.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,October,0.0,0.0,0.0,0.0,0.0,0.0,182.02,402.86,450.54,417.99,357.88,242.24,142.37,110.66,77.29,29.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,November,0.0,0.0,0.0,0.0,0.0,0.0,17.4,208.68,280.75,261.26,219.7,144.51,99.97,72.17,36.47,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East,90,55,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.58,246.08,242.73,193.75,118.81,79.69,57.18,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,January,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,55.73,81.83,104.55,184.31,266.08,292.2,242.57,38.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,February,0.0,0.0,0.0,0.0,0.0,0.0,2.0,46.49,94.49,119.21,152.2,281.02,406.39,440.69,430.03,270.06,5.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,March,0.0,0.0,0.0,0.0,0.0,2.68,42.98,98.97,137.56,157.47,245.77,423.3,560.16,605.15,592.74,527.15,260.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,April,0.0,0.0,0.0,0.0,1.87,39.88,96.38,136.98,164.19,195.03,358.72,546.3,666.28,696.34,674.06,618.53,464.46,85.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,May,0.0,0.0,0.0,0.0,24.59,77.1,122.01,156.56,175.5,245.15,416.16,576.87,681.71,710.33,704.24,647.17,519.54,311.47,32.04,0.0,0.0,0.0,0.0,0.0
West,270,55,June,0.0,0.0,0.0,1.32,38.26,88.56,130.81,165.04,182.53,262.44,439.06,603.85,710.69,765.63,764.39,699.98,567.87,384.52,98.72,0.0,0.0,0.0,0.0,0.0
West,270,55,July,0.0,0.0,0.0,0.0,26.52,78.7,123.62,157.44,177.18,236.69,410.07,580.52,692.78,751.7,762.94,712.06,586.5,402.86,91.5,0.0,0.0,0.0,0.0,0.0
West,270,55,August,0.0,0.0,0.0,0.0,4.18,52.93,104.18,145.37,163.65,202.06,372.67,550.62,679.73,732.48,729.9,662.55,526.38,223.4,6.03,0.0,0.0,0.0,0.0,0.0
West,270,55,September,0.0,0.0,0.0,0.0,0.0,17.5,73.25,116.57,145.25,169.65,309.2,482.61,588.14,625.85,594.84,527.47,247.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,October,0.0,0.0,0.0,0.0,0.0,0.0,29.58,82.27,115.12,130.88,223.55,370.94,451.72,465.09,419.78,213.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,November,0.0,0.0,0.0,0.0,0.0,0.0,1.53,36.02,72.5,90.3,133.38,226.55,284.17,294.74,213.69,22.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West,270,55,December,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.19,48.22,70.25,92.89,165.36,231.39,236.79,126.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
