Month,Hour,Generation
April,1,0.0
April,2,0.0
April,3,0.0
April,4,0.0
April,5,5.0927428571428575
April,6,115.48759999999999
April,7,349.9276
April,8,606.2849714285715
April,9,832.0525142857143
April,10,975.4161714285714
April,11,1073.757257142857
April,12,1111.8444571428572
April,13,1054.1401142857142
April,14,896.8174857142857
April,15,704.5715428571428
April,16,506.0450285714286
April,17,275.3414285714286
April,18,39.6316
April,19,0.0
April,20,0.0
April,21,0.0
April,22,0.0
April,23,0.0
April,24,0.0
August,1,0.0
August,2,0.0
August,3,0.0
August,4,0.0
August,5,10.798
August,6,147.73302857142858
August,7,360.43154285714286
August,8,612.4669714285715
August,9,835.1024571428571
August,10,998.6762857142858
August,11,1093.4741142857142
August,12,1115.5199428571427
August,13,1075.351142857143
August,14,944.9018857142856
August,15,768.8311428571429
August,16,553.9183428571429
August,17,325.05942857142855
August,18,99.9837142857143
August,19,1.905142857142857
August,20,0.0
August,21,0.0
August,22,0.0
August,23,0.0
August,24,0.0
December,1,0.0
December,2,0.0
December,3,0.0
December,4,0.0
December,5,0.0
December,6,0.0
December,7,0.0
December,8,65.51525714285714
December,9,270.2069142857143
December,10,375.32651428571427
December,11,442.50468571428576
December,12,464.8039428571429
December,13,427.9833142857143
December,14,316.3884
December,15,126.10057142857141
December,16,0.0
December,17,0.0
December,18,0.0
December,19,0.0
December,20,0.0
December,21,0.0
December,22,0.0
December,23,0.0
December,24,0.0
February,1,0.0
February,2,0.0
February,3,0.0
February,4,0.0
February,5,0.0
February,6,0.0
February,7,9.669485714285715
February,8,229.96782857142858
February,9,461.0816571428571
February,10,601.3198857142856
February,11,706.9464571428572
February,12,766.8545714285714
February,13,756.3980571428572
February,14,616.6388
February,15,457.8193142857143
February,16,214.86285714285714
February,17,3.832514285714286
February,18,0.0
February,19,0.0
February,20,0.0
February,21,0.0
February,22,0.0
February,23,0.0
February,24,0.0
January,1,0.0
January,2,0.0
January,3,0.0
January,4,0.0
January,5,0.0
January,6,0.0
January,7,0.0
January,8,65.04645714285714
January,9,299.4177714285714
January,10,407.704
January,11,490.64879999999994
January,12,547.4544000000001
January,13,516.9162285714285
January,14,411.96680000000003
January,15,251.89845714285715
January,16,30.129199999999997
January,17,0.0
January,18,0.0
January,19,0.0
January,20,0.0
January,21,0.0
January,22,0.0
January,23,0.0
January,24,0.0
July,1,0.0
July,2,0.0
July,3,0.0
July,4,0.0
July,5,60.9776
July,6,209.70159999999998
July,7,414.15451428571424
July,8,654.3134285714286
July,9,875.7907428571428
July,10,1029.4770857142857
July,11,1101.297257142857
July,12,1130.9027999999998
July,13,1076.7389714285714
July,14,967.1073714285715
July,15,815.0313142857143
July,16,615.8282285714286
July,17,394.3090857142857
July,18,191.54451428571429
July,19,34.01057142857143
July,20,0.0
July,21,0.0
July,22,0.0
July,23,0.0
July,24,0.0
June,1,0.0
June,2,0.0
June,3,0.0
June,4,4.5609714285714285
